ID,Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default,Is_Term,Is_Years_in_current_job,Is_Home_Ownership,Is_Purpose,Is_Purpose_business loan,Is_Purpose_other,Is_Purpose_renewable energy,Is_Purpose_small business
0,Own Home,-1.5040987392973493,Unknown,-0.11095342154390785,0.06643571058971146,1.4685263361004084,0.5639076668143043,1.6647792271904904,-0.6044253084108111,1.0,debt consolidation,Short Term,-1.3146797256460507,-1.0253103063273965,7914.0,-0.39910927209051283,0,0,-1.7068718463092056,0,other,0,1,0,0
1,Own Home,-0.40952434393860776,10+ years,-0.11095342154390785,1.012364195493054,-0.3832419682731521,1.9966225109907678,-0.3409788778582933,-0.6179942698402423,0.0,debt consolidation,Long Term,-0.053657089367079705,1.0325023840728036,18373.0,-0.4572872786822931,1,1,1.1640135221007732,0,other,0,1,0,0
2,Home Mortgage,-0.9615955206186723,8 years,-0.11095342154390785,0.06643571058971146,-0.43374474021061293,1.9986569851426934,-0.3409788778582933,-0.6190556769882709,0.0,debt consolidation,Short Term,-1.3140566371833686,0.5199052248865287,13651.0,-0.4330464426023846,0,0,0.6420343642080498,1,other,0,1,0,0
3,Own Home,-0.8535158670349979,6 years,-0.11095342154390785,-0.6430106530877954,0.8288245582259056,-0.9924650594088961,1.6647792271904904,-0.6040678666939633,1.0,debt consolidation,Short Term,-0.7904047468758845,-0.7383593839916083,11338.0,-0.6657584689695057,0,0,0.12005520631532639,0,other,0,1,0,0
4,Rent,-0.9115359643554123,8 years,-0.11095342154390785,0.5393999530413827,-0.6694243425854298,-0.30341409507854294,1.6647792271904904,-0.6029977128444938,0.0,debt consolidation,Short Term,-0.76760011512339,-0.7534324626246917,7180.0,-0.5445542885699635,0,0,0.6420343642080498,0,other,0,1,0,0
5,Rent,0.11579279798124781,7 years,-0.11095342154390785,0.30291783181554705,-0.5010817694605606,-0.3584720518150336,-0.3409788778582933,-0.6182720403684812,0.0,other,Long Term,0.31753909480223536,-0.3249745781962254,18692.0,2.0817244340664223,1,1,0.3810447852616881,0,other,0,1,0,0
6,Home Mortgage,0.5686654102912548,10+ years,-0.11095342154390785,-0.4065285318619598,0.4584708973511936,-0.2968020540847842,-0.3409788778582933,0.7320309190451786,0.0,home improvements,Short Term,-1.3137738064168671,-1.0002260038260713,2317.0,-0.4185019409544396,0,0,1.1640135221007732,1,other,0,1,0,0
7,Rent,-0.3801698487903506,10+ years,-0.11095342154390785,0.5393999530413827,-0.9387724595852204,-0.4636925118599436,-0.3409788778582933,1.8419805895099377,0.0,other,Short Term,-0.12590938798884418,-0.7788542221103397,19761.0,-0.6124286295937071,1,0,1.1640135221007732,0,other,0,1,0,0
8,Home Mortgage,-1.6626932547462283,5 years,-0.11095342154390785,1.4853284379447251,-0.31590493902320466,-1.4184330849683504,1.6647792271904904,-0.6027176643847105,1.0,home improvements,Short Term,-0.7476178387858082,-1.3057370602996115,17.0,1.7631933875107115,0,0,-0.14093437263103534,1,other,0,1,0,0
9,Home Mortgage,0.2878124246088534,1 year,-0.11095342154390785,-0.17004641063612416,1.182343961788131,0.059167345184974705,-0.3409788778582933,1.6039140632974709,0.0,debt consolidation,Long Term,1.5264103661176325,-0.09021700276902425,17613.0,1.8650178869278597,1,1,-1.1848926884164823,1,other,0,1,0,0
10,Home Mortgage,-0.09736350865000055,< 1 year,-0.11095342154390785,-0.879492774313631,-1.022943746147655,-0.6776937617156337,-0.3409788778582933,-0.6164721526708054,0.0,debt consolidation,Short Term,-0.28000999364307627,-0.19584103886204862,14592.0,1.9558655059560122,0,0,-1.445882267362844,1,other,0,1,0,0
11,Home Mortgage,1.208111179439991,4 years,-0.11095342154390785,0.30291783181554705,0.003945949914047066,1.0064057948581553,-0.3409788778582933,-0.6173064772230009,0.0,debt consolidation,Short Term,0.8501740087045554,1.0795213905551082,15528.0,-0.4572872786822931,0,0,-0.4019239515773971,1,other,0,1,0,0
12,Home Mortgage,-0.5949513700054995,10+ years,-0.11095342154390785,-0.6430106530877954,-0.602087313335482,-0.1364600599861359,-0.3409788778582933,-0.6173666495482562,0.0,debt consolidation,Short Term,0.319909873350762,0.5608500056510237,19446.0,-0.6075804623777254,0,0,1.1640135221007732,1,other,0,1,0,0
13,Rent,1.6871214288214598,10+ years,-0.11095342154390785,0.06643571058971146,0.02078020722653362,-1.414665477546113,-0.3409788778582933,-0.6164017672645937,0.0,debt consolidation,Long Term,1.4078714386913,-1.2966023498830583,21869.0,-0.5009207836261284,1,1,1.1640135221007732,0,other,0,1,0,0
14,Own Home,2.074738543373674,7 years,-0.11095342154390785,0.06643571058971146,0.02078020722653362,-1.4144739727528866,-0.3409788778582933,-0.6219812759009336,0.0,other,Short Term,-0.4626728360962246,-1.298563424860773,0.0,-0.4039574393064945,0,0,0.3810447852616881,0,other,0,1,0,0
15,Rent,-0.7661030027343209,10+ years,-0.11095342154390785,-0.4065285318619598,0.1386200084139419,-0.5624916628628379,-0.3409788778582933,-0.6176397789201844,0.0,debt consolidation,Short Term,-0.6685918871682534,-1.0605183183584046,12939.0,-0.50576895084211,0,0,1.1640135221007732,0,other,0,1,0,0
16,Rent,0.5982024759781754,7 years,-0.11095342154390785,-1.1159748955394666,0.03761446453902077,1.180989108020284,-0.3409788778582933,-0.6167399936119008,0.0,debt consolidation,Long Term,0.1930167738962881,1.8813191853059898,18844.0,1.7426675553103372,1,1,0.3810447852616881,0,other,0,1,0,0
17,Home Mortgage,-0.5223497046909703,3 years,-0.11095342154390785,0.7758820742672183,1.8388799969751204,1.5930972784197444,-0.3409788778582933,-0.6245472649312293,0.0,debt consolidation,Long Term,1.146634221486983,2.775580193761308,0.0,-0.9081668297685903,1,1,-0.6629135305237588,1,other,0,1,0,0
18,Home Mortgage,0.34837274526730677,2 years,-0.11095342154390785,-0.4065285318619598,1.923051283537555,-0.2994087240919391,-0.3409788778582933,-0.6060027385633906,0.0,debt consolidation,Long Term,1.4274021381624957,-0.11001447918262626,13434.0,-0.660910301753524,1,1,-0.9239031094701204,1,other,0,1,0,0
19,Rent,-0.42043181606018964,2 years,-0.11095342154390785,-1.1159748955394666,-0.8546011730227858,-0.8431219411940963,-0.3409788778582933,-0.6166330620202572,0.0,debt consolidation,Short Term,0.17574395875702253,-0.5923529954412935,14451.0,-0.5784914590818353,1,0,-0.9239031094701204,0,other,0,1,0,0
20,Home Mortgage,0.8524510446124111,10+ years,-0.11095342154390785,0.06643571058971146,1.5021948507253822,0.5001396176148815,-0.3409788778582933,-0.5983359479262645,0.0,debt consolidation,Long Term,1.5890666563286937,0.191109636494718,8742.0,-0.6512139673215607,0,1,1.1640135221007732,1,other,0,1,0,0
21,Home Mortgage,-0.3653969216362081,6 years,-0.11095342154390785,-0.879492774313631,-0.43374474021061293,-0.2592914369086532,-0.3409788778582933,-0.5964192502669831,0.0,debt consolidation,Short Term,0.25364096820861237,-0.21890059945743734,7786.0,-0.5445542885699635,1,0,0.12005520631532639,1,other,0,1,0,0
22,Rent,-1.5409545135186942,Unknown,-0.11095342154390785,-1.1159748955394666,1.8052114823501468,-0.5848708785340212,-0.3409788778582933,-0.6165539472717565,0.0,debt consolidation,Short Term,-1.314037624453554,-0.372218556001412,5063.0,-0.4524391114663114,0,0,-1.7068718463092056,0,other,0,1,0,0
23,Own Home,-0.14693429013655274,10+ years,-0.11095342154390785,1.4853284379447251,-0.46741325483558666,0.6045971498528193,-0.3409788778582933,1.821401339223552,0.0,debt consolidation,Short Term,-0.5159589063297759,-0.3108013848546694,17132.0,2.269349503587586,1,0,1.1640135221007732,0,other,0,1,0,0
24,Own Home,2.1845007214157337,Unknown,-0.11095342154390785,0.30291783181554705,1.2496809910380784,2.096629631021368,-0.3409788778582933,1.4471459143311043,0.0,debt consolidation,Short Term,0.9865502223531358,-1.299276513120599,37530.0,1.7304806043006051,0,0,-1.7068718463092056,0,other,0,1,0,0
25,Rent,0.25047339899710885,10+ years,-0.11095342154390785,-1.8254212592169734,2.0577253420374504,2.141642371632725,-0.3409788778582933,-0.6167493718013882,0.0,other,Short Term,-0.8589315363499642,-1.3004650109570366,22225.0,-0.5397061213539818,0,0,1.1640135221007732,0,other,0,1,0,0
26,Home Mortgage,-0.5587079450962432,2 years,-0.11095342154390785,2.194774801622232,-0.2990706817107175,0.7457387941426684,-0.3409788778582933,-0.6187752830284231,0.0,other,Short Term,-1.0741079131829065,0.3866097160790379,17046.0,-0.4330464426023846,0,0,-0.9239031094701204,1,other,0,1,0,0
27,Rent,-0.4526949704408686,8 years,-0.11095342154390785,-0.879492774313631,-0.5179160267730475,-0.4694144704122348,-0.3409788778582933,-0.6152313214146633,0.0,debt consolidation,Short Term,-1.3137923252072283,-0.14567243385939807,6041.0,-0.47183178033023815,0,0,0.6420343642080498,0,other,0,1,0,0
28,Home Mortgage,-1.0428083481344501,10+ years,-0.11095342154390785,0.30291783181554705,0.3237968388512982,0.1242069407293511,-0.3409788778582933,-0.6176274704266284,0.0,debt consolidation,Short Term,-0.613951086335544,0.2471274958922964,13807.0,-0.442742777034348,0,0,1.1640135221007732,1,other,0,1,0,0
29,Rent,0.49815231363622187,10+ years,-0.11095342154390785,-0.4065285318619598,0.1722885230389162,-0.8794881666597691,-0.3409788778582933,1.719826229738263,0.0,debt consolidation,Short Term,0.4233209757531624,-0.8748044913194449,22352.0,1.9221182922214404,1,0,1.1640135221007732,0,other,0,1,0,0
30,Rent,-1.240903350595179,7 years,-0.11095342154390785,-0.6430106530877954,-0.602087313335482,-0.7681642841590819,1.6647792271904904,-0.6020398528636544,1.0,debt consolidation,Short Term,-1.3144258966969442,-0.43149849958077713,6128.0,-0.5445542885699635,0,0,0.3810447852616881,0,other,0,1,0,0
31,Own Home,0.12287511109060384,10+ years,-0.11095342154390785,0.06643571058971146,0.49213941197616734,1.0250975261289732,-0.3409788778582933,-0.618768536943977,0.0,debt consolidation,Long Term,-1.3142039863159938,2.485704644228056,26549.0,-0.5978841279457621,0,1,1.1640135221007732,0,other,0,1,0,0
32,Home Mortgage,0.6003544871918506,10+ years,-0.11095342154390785,1.9582926803963965,1.2496809910380784,2.347314992928969,-0.3409788778582933,1.6145500448572876,0.0,debt consolidation,Short Term,-0.052528147201114636,1.6257517625122184,28247.0,-0.5106171180580917,1,0,1.1640135221007732,1,other,0,1,0,0
33,Home Mortgage,-0.2384043088661923,< 1 year,-0.11095342154390785,0.5393999530413827,0.576310698538602,-1.1252144978220515,-0.3409788778582933,1.7930854226917696,0.0,other,Short Term,-1.0055811237088268,-0.9489325422090116,14003.0,2.0813774571410453,1,0,-1.445882267362844,1,other,0,1,0,0
34,Rent,1.350099676180583,3 years,-0.11095342154390785,-1.1159748955394666,-1.241789091209985,0.9012489121304931,-0.3409788778582933,-0.6164106163959324,0.0,take a trip,Short Term,-1.1876794950789926,1.9528600659824153,21839.0,-0.5300097869220185,0,0,-0.6629135305237588,0,other,0,1,0,0
35,Rent,-0.3599143527043063,< 1 year,-0.11095342154390785,-0.4065285318619598,2.3270734590372406,2.792419790979975,-0.3409788778582933,-0.6213363198376427,0.0,buy a car,Short Term,-0.6155316053678951,0.19909611845702332,7020.0,1.7727785049426792,0,0,-1.445882267362844,0,other,0,1,0,0
36,Home Mortgage,0.27032114329654316,6 years,-0.11095342154390785,-0.6430106530877954,-0.5179160267730475,-0.23583140684425935,-0.3409788778582933,1.6834419891336854,0.0,other,Long Term,2.011742603266016,-0.08178057816095521,18846.0,1.919333062232307,1,1,0.12005520631532639,1,other,0,1,0,0
37,Rent,-0.43457327646043203,5 years,-0.11095342154390785,0.5393999530413827,0.07128297916399448,0.34049697400595763,-0.3409788778582933,-0.6171749813007649,0.0,debt consolidation,Short Term,-0.782502151714129,0.0074205513616947645,10806.0,2.0977609053594,1,0,-0.14093437263103534,0,other,0,1,0,0
